"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs73171706-<b>T</b>,"4 x 10-9",(MTAG),0.0428,'-,"0.0194 unit increase",[0.013-0.026],AUTS2,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:70192344
rs2158507-<b>A</b>,"3 x 10-8",(MTAG),0.388,'-,"0.0074 unit decrease",[0.0049-0.0099],AUTS2,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:70397437
rs7803932-<b>A</b>,"2 x 10-14",(MTAG),0.1667,'-,"0.0135 unit increase",[0.01-0.017],AUTS2,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:70738687
rs6460661-<b>A</b>,"2 x 10-8",(MTAG),0.751,'-,"0.0086 unit increase",[0.0057-0.0115],GALNT17,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:71519273
rs2867566-<b>A</b>,"3 x 10-10",(MTAG),0.2951,'-,"0.009 unit decrease",[0.0063-0.0117],CALN1,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:72028757
rs35526560-<b>C</b>,"2 x 10-36",(MTAG),0.4769,'-,"0.0165 unit increase",[0.014-0.019],CALN1,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:72276247
rs56004000-<b>T</b>,"4 x 10-9",(MTAG),0.2201,'-,"0.0095 unit decrease",[0.0064-0.0126],TYW1B,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:72774864
rs2718277-<b>T</b>,"1 x 10-10",(MTAG),0.0832,'-,"0.0154 unit increase",[0.011-0.02],GTF2I,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:74719610
rs1167827-<b>A</b>,"2 x 10-18",(MTAG),0.4347,'-,"0.0116 unit increase",[0.0091-0.0141],HIP1,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:75533848
rs4728638-<b>T</b>,"1 x 10-10",(MTAG),0.1435,'-,"0.012 unit increase",[0.0083-0.0157],SRRM3,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:76272712
rs1405876-<b>T</b>,"5 x 10-17",(MTAG),0.6403,'-,"0.0114 unit increase",[0.0087-0.0141],GRM3,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:86608265
rs10215082-<b>A</b>,"2 x 10-27",(MTAG),0.4661,'-,"0.0143 unit decrease",[0.012-0.017],"SAMD9, RN7SL7P","Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:93028671
rs737902-<b>A</b>,"2 x 10-9",(MTAG),0.2728,'-,"0.0088 unit decrease",[0.0059-0.0117],ASB4,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:95509443
rs982346-<b>A</b>,"2 x 10-9",(MTAG),0.0521,'-,"0.018 unit decrease",[0.012-0.024],"DLX5, DLX6-AS1","Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:97020059
rs6956283-<b>T</b>,"4 x 10-10",(MTAG),0.7342,'-,"0.0092 unit increase",[0.0063-0.0121],"KPNA7, SMURF1","Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:99158974
rs6924023-<b>A</b>,"1 x 10-10",(MTAG),0.7548,'-,"0.0098 unit increase",[0.0069-0.0127],WDR27,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,6:169675945
rs4719460-<b>T</b>,"6 x 10-10",(MTAG),0.656,'-,"0.0086 unit decrease",[0.0059-0.0113],SUN1,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:819973
rs11772232-<b>T</b>,"8 x 10-23",(MTAG),0.1691,'-,"0.0174 unit increase",[0.014-0.021],MAD1L1,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:1816637
rs13240401-<b>T</b>,"3 x 10-25",(MTAG),0.7812,'-,"0.0166 unit increase",[0.013-0.02],MAD1L1,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:2154761
rs58921703-<b>T</b>,"4 x 10-13",(MTAG),0.3698,'-,"0.0099 unit increase",[0.0072-0.0126],SNX8,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:2283308
rs4719944-<b>T</b>,"5 x 10-23",(MTAG),0.5462,'-,"0.013 unit decrease",[0.01-0.016],SDK1,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:3456400
rs35745455-<b>A</b>,"1 x 10-10",(MTAG),0.501,'-,"0.0084 unit increase",[0.0059-0.0109],"ZNF815P, RNF216","Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:5784469
rs6946362-<b>T</b>,"3 x 10-10",(MTAG),0.6884,'-,"0.009 unit increase",[0.0063-0.0117],GRID2IP,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:6535176
rs17568389-<b>A</b>,"3 x 10-21",(MTAG),0.5087,'-,"0.0124 unit increase",[0.0099-0.0149],GLCCI1,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:8052246
rs118134876-<b>T</b>,"2 x 10-16",(MTAG),0.0578,'-,"0.0232 unit decrease",[0.018-0.029],THSD7A,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:11460745
rs1526549-<b>A</b>,"1 x 10-8",(MTAG),0.7204,'-,"0.0083 unit decrease",[0.0054-0.0112],THSD7A,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:11713402
rs12234369-<b>A</b>,"6 x 10-11",(MTAG),0.3142,'-,"0.0092 unit increase",[0.0065-0.0119],THSD7A,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:11853649
rs11971750-<b>A</b>,"2 x 10-8",(MTAG),0.6272,'-,"0.0076 unit decrease",[0.0049-0.0103],'-,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:13406001
rs6977237-<b>T</b>,"8 x 10-10",(MTAG),0.4725,'-,"0.008 unit increase",[0.0055-0.0105],ETV1,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:13988366
rs7788935-<b>T</b>,"3 x 10-8",(MTAG),0.8775,'-,"0.0112 unit decrease",[0.0073-0.0151],DGKB,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:14758993
rs60227577-<b>A</b>,"4 x 10-8",(MTAG),0.9652,'-,"0.0205 unit decrease",[0.013-0.028],LINC01162,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:20851248
rs6461536-<b>A</b>,"2 x 10-10",(MTAG),0.7118,'-,"0.0092 unit increase",[0.0065-0.0119],LINC01162,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:21092188
rs35929923-<b>A</b>,"3 x 10-14",(MTAG),0.2495,'-,"0.0115 unit decrease",[0.0086-0.0144],"RNU1-15P, ASS1P11","Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:21360907
rs10499535-<b>A</b>,"7 x 10-11",(MTAG),0.5013,'-,"0.0085 unit increase",[0.006-0.011],DNAH11,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:21650988
rs198716-<b>A</b>,"7 x 10-10",(MTAG),0.6349,'-,"0.0085 unit decrease",[0.0058-0.0112],RNA5SP228,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:24140844
rs2529069-<b>T</b>,"4 x 10-11",(MTAG),0.7343,'-,"0.0098 unit decrease",[0.0069-0.0127],"FAM86LP, RNU6-1103P","Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:24531419
rs79210963-<b>T</b>,"1 x 10-19",(MTAG),0.8846,'-,"0.0186 unit decrease",[0.015-0.023],PALS2,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:24678350
rs457-<b>T</b>,"4 x 10-8",(MTAG),0.4495,'-,"0.0072 unit decrease",[0.0047-0.0097],OSBPL3,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:24922807
rs9771228-<b>T</b>,"9 x 10-13",(MTAG),0.6491,'-,"0.0098 unit increase",[0.0071-0.0125],PDE1C,"Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:32282884
rs4580942-<b>A</b>,"5 x 10-11",(MTAG),0.6766,'-,"0.0092 unit increase",[0.0065-0.0119],"PDE1C, SLC25A5P5","Educational attainment (MTAG)","self reported educational attainment",'-,GCST006571,7:32456823
rs736281-<b>T</b>,"2 x 10-9",,0.3931,'-,"0.0086 unit increase",[0.0059-0.0113],"FAM181A-AS1, PRIMA1","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,14:93821484
rs2496482-<b>T</b>,"9 x 10-17",,0.4161,'-,"0.0121 unit increase",[0.0092-0.015],BCL11B,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,14:99283827
rs12431682-<b>T</b>,"2 x 10-10",,0.3699,'-,"0.0093 unit decrease",[0.0064-0.0122],"LINC02285, MEG9","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,14:101073662
rs8008382-<b>T</b>,"4 x 10-12",,0.3009,'-,"0.0106 unit decrease",[0.0077-0.0135],"KLC1, COA8","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,14:103588088
rs7167688-<b>T</b>,"2 x 10-11",,0.4917,'-,"0.0094 unit decrease",[0.0067-0.0121],GABRB3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:26567990
rs891793-<b>C</b>,"2 x 10-12",,0.5403,'-,"0.0099 unit decrease",[0.0072-0.0126],GABRG3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:27010874
rs4423373-<b>A</b>,"6 x 10-10",,0.5386,'-,"0.0087 unit decrease",[0.006-0.0114],OCA2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:27743194
rs117799466-<b>C</b>,"1 x 10-11",,0.3619,'-,"0.0106 unit increase",[0.0075-0.0137],"ACTG1P15, LPCAT4","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:34367316
rs16966271-<b>T</b>,"4 x 10-9",,0.2819,'-,"0.0092 unit increase",[0.0061-0.0123],"LINC01852, LINC02895","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:38131529
rs6493265-<b>T</b>,"2 x 10-17",,0.3915,'-,"0.0122 unit decrease",[0.0095-0.0149],SEMA6D,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:47221056
rs6493275-<b>A</b>,"3 x 10-14",,0.7885,'-,"0.0131 unit increase",[0.0098-0.0164],SEMA6D,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:47384382
rs1656614-<b>C</b>,"7 x 10-16",,0.314,'-,"0.0122 unit increase",[0.0093-0.0151],SEMA6D,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:47508316
rs1898111-<b>A</b>,"5 x 10-8",,0.8245,'-,"0.0101 unit increase",[0.0066-0.0136],SEMA6D,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:47600101
rs2414072-<b>A</b>,"4 x 10-9",,0.4443,'-,"0.0083 unit decrease",[0.0056-0.011],TRPM7,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:50558365
rs62018216-<b>T</b>,"5 x 10-9",,0.1549,'-,"0.0113 unit increase",[0.0076-0.015],"MIR4713HG, TNFAIP8L3","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:51095207
rs12438177-<b>A</b>,"1 x 10-10",,0.3676,'-,"0.0093 unit increase",[0.0064-0.0122],PRTG,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:55659234
rs1529597-<b>A</b>,"3 x 10-9",,0.9637,'-,"0.0223 unit increase",[0.015-0.03],TCF12,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:56897866
rs2431023-<b>A</b>,"6 x 10-11",,0.4151,'-,"0.0093 unit increase",[0.0066-0.012],TCF12,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:57261634
rs7171405-<b>A</b>,"8 x 10-10",,0.2432,'-,"0.0101 unit decrease",[0.007-0.0132],RORA,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:61174694
rs34262657-<b>T</b>,"3 x 10-10",,0.9619,'-,"0.024 unit decrease",[0.017-0.031],"USP3, USP3-AS1","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:63557088
rs4984613-<b>T</b>,"8 x 10-10",,0.0683,'-,"0.0174 unit increase",[0.012-0.023],"RBPMS2, OAZ2","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:64731033
rs12591647-<b>T</b>,"8 x 10-17",,0.8171,'-,"0.0152 unit decrease",[0.012-0.019],DENND4A,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:65667391
rs36085856-<b>C</b>,"2 x 10-8",,0.0734,'-,"0.0201 unit increase",[0.013-0.027],TLE3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:70086897
rs1564347-<b>T</b>,"2 x 10-9",,0.3433,'-,"0.0088 unit increase",[0.0059-0.0117],NEO1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:73146507
rs7495033-<b>A</b>,"6 x 10-10",,0.689,'-,"0.0095 unit increase",[0.0066-0.0124],"FAM219B, COX5A","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:74913884
rs2469226-<b>A</b>,"1 x 10-8",,0.2228,'-,"0.0096 unit increase",[0.0063-0.0129],"RN7SL278P, RCN2","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:76954649
rs12912465-<b>T</b>,"1 x 10-10",,0.269,'-,"0.0104 unit decrease",[0.0073-0.0135],PSTPIP1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:77017118
rs62007304-<b>A</b>,"2 x 10-8",,0.9753,'-,"0.0264 unit increase",[0.017-0.036],HMG20A,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:77430853
rs56391344-<b>A</b>,"7 x 10-20",,0.2526,'-,"0.0148 unit increase",[0.012-0.018],LINGO1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:77714557
rs7182216-<b>C</b>,"1 x 10-8",,0.2277,'-,"0.0096 unit decrease",[0.0063-0.0129],ADAMTSL3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:83753754
rs4778058-<b>T</b>,"5 x 10-11",,0.4964,'-,"0.0092 unit decrease",[0.0065-0.0119],CHD2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:92912839
rs16975275-<b>A</b>,"8 x 10-10",,0.2306,'-,"0.0102 unit decrease",[0.0069-0.0135],LINC00924,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:95503327
rs4984541-<b>A</b>,"3 x 10-16",,0.7666,'-,"0.0138 unit decrease",[0.01-0.017],"NR2F2, TUBAP12","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:96367910
rs8030487-<b>A</b>,"3 x 10-8",,0.6907,'-,"0.0085 unit increase",[0.0056-0.0114],Metazoa_SRP,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,15:96576365
rs4984682-<b>C</b>,"2 x 10-16",,0.7674,'-,"0.0138 unit decrease",[0.01-0.017],WDR24,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,16:690404
rs34316274-<b>A</b>,"4 x 10-9",,0.762,'-,"0.0097 unit increase",[0.0064-0.013],LMF1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,16:968697
rs9933256-<b>A</b>,"6 x 10-17",,0.5558,'-,"0.0119 unit increase",[0.0092-0.0146],CACNA1H,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,16:1196748
rs8046072-<b>A</b>,"9 x 10-9",,0.8017,'-,"0.0101 unit increase",[0.0066-0.0136],CLUAP1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,16:3512075
rs2077235-<b>T</b>,"5 x 10-9",,0.2373,'-,"0.0097 unit increase",[0.0064-0.013],"SLX4, NLRC3","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,16:3579226
rs11076962-<b>T</b>,"4 x 10-8",,0.7189,'-,"0.0086 unit increase",[0.0055-0.0117],RBFOX1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,16:5761366
rs12709186-<b>A</b>,"1 x 10-9",,0.3236,'-,"0.0091 unit decrease",[0.0062-0.012],RBFOX1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,16:7199471
rs4787028-<b>T</b>,"8 x 10-9",,0.6622,'-,"0.0086 unit increase",[0.0057-0.0115],RBFOX1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,16:7483019
rs9929993-<b>T</b>,"3 x 10-12",,0.361,'-,"0.0102 unit decrease",[0.0073-0.0131],RBFOX1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,16:7614873
rs11644446-<b>A</b>,"2 x 10-9",,0.1562,'-,"0.0117 unit increase",[0.008-0.0154],'-,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,16:7893550
rs8052523-<b>T</b>,"3 x 10-9",,0.5697,'-,"0.0084 unit decrease",[0.0057-0.0111],RPL21P119,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,16:9199389
rs117468730-<b>A</b>,"5 x 10-10",,0.0205,'-,"0.031 unit decrease",[0.021-0.041],"GRIN2A, IMPDH1P11","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,16:10111610
rs1097784-<b>T</b>,"3 x 10-9",,0.5021,'-,"0.0083 unit decrease",[0.0056-0.011],GRIN2A,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,16:10155559
rs35016816-<b>T</b>,"4 x 10-14",,0.899,'-,"0.0176 unit increase",[0.013-0.022],GRIN2A,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,16:10172258
rs387027-<b>A</b>,"1 x 10-8",,0.3609,'-,"0.0083 unit decrease",[0.0054-0.0112],SNX29,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,16:11991486
rs350281-<b>T</b>,"1 x 10-14",,0.6825,'-,"0.0117 unit decrease",[0.0088-0.0146],SNX29,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,16:12137882
rs3131749-<b>A</b>,"8 x 10-11",(conditional-joint),0.5829,'-,"0.0093 unit increase",[0.0066-0.012],DAB1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:57783986
rs76659454-<b>A</b>,"2 x 10-16",(conditional-joint),0.1764,'-,"0.0154 unit decrease",[0.012-0.019],"NEGR1, RPL31P12","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:72284043
rs10789387-<b>A</b>,"7 x 10-16",(conditional-joint),0.5379,'-,"0.0114 unit increase",[0.0087-0.0141],LRRIQ3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:74094727
rs12726443-<b>A</b>,"2 x 10-9",(conditional-joint),0.722,'-,"0.0096 unit decrease",[0.0065-0.0127],LHX8,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:75150877
rs145489304-<b>A</b>,"2 x 10-12",(conditional-joint),0.0434,'-,"0.0251 unit increase",[0.018-0.032],"RNU6-622P, LHX8","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:75180787
rs7522356-<b>T</b>,"7 x 10-10",(conditional-joint),0.4404,'-,"0.0087 unit increase",[0.006-0.0114],AK5,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:77485775
rs12022666-<b>A</b>,"3 x 10-10",(conditional-joint),0.3076,'-,"0.0096 unit increase",[0.0067-0.0125],"SNORD3G, LINC02787","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:90631938
rs12089815-<b>A</b>,"3 x 10-33",(conditional-joint),0.5418,'-,"0.0169 unit increase",[0.014-0.02],"LINC02609, BARHL2","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:90724376
rs4847401-<b>C</b>,"2 x 10-16",(conditional-joint),0.3475,'-,"0.0122 unit decrease",[0.0093-0.0151],TMED5,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:93162456
rs4506495-<b>T</b>,"6 x 10-20",(conditional-joint),0.8361,'-,"0.0174 unit increase",[0.014-0.021],"DPYD, MIR137HG","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:97938678
rs12406721-<b>T</b>,"1 x 10-8",(conditional-joint),0.3353,'-,"0.0085 unit decrease",[0.0056-0.0114],"LINC01661, PRMT6","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:107020621
rs3738772-<b>A</b>,"2 x 10-18",(conditional-joint),0.2932,'-,"0.0135 unit increase",[0.011-0.016],AMIGO1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:109505814
rs7545139-<b>A</b>,"9 x 10-12",(conditional-joint),0.5789,'-,"0.0097 unit decrease",[0.007-0.0124],STRIP1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:110045334
rs12024366-<b>A</b>,"4 x 10-12",(conditional-joint),0.7671,'-,"0.0115 unit increase",[0.0082-0.0148],RAP1A,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:111615882
rs2249872-<b>A</b>,"1 x 10-16",(conditional-joint),0.7433,'-,"0.0133 unit increase",[0.01-0.016],CADM3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:159177147
rs10797055-<b>A</b>,"5 x 10-8",(conditional-joint),0.5204,'-,"0.0077 unit decrease",[0.005-0.0104],IGSF9,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:159937059
rs12065238-<b>A</b>,"4 x 10-8",(conditional-joint),0.1687,'-,"0.0103 unit increase",[0.0066-0.014],FAM78B,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:166132365
rs35039375-<b>A</b>,"1 x 10-13",(conditional-joint),0.9096,'-,"0.0182 unit increase",[0.013-0.023],PRRC2C,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:171547724
rs2901785-<b>A</b>,"9 x 10-10",(conditional-joint),0.4452,'-,"0.0086 unit increase",[0.0059-0.0113],RABGAP1L-DT,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:174135605
rs1570926-<b>T</b>,"1 x 10-11",(conditional-joint),0.2818,'-,"0.0106 unit decrease",[0.0075-0.0137],LINC01657,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:175880072
rs10910953-<b>T</b>,"1 x 10-14",(conditional-joint),0.2069,'-,"0.0134 unit increase",[0.01-0.017],CACNA1E,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:181543317
rs11808675-<b>A</b>,"3 x 10-11",(conditional-joint),0.5854,'-,"0.0094 unit increase",[0.0067-0.0121],EDEM3,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:184697360
rs1539414-<b>A</b>,"1 x 10-11",(conditional-joint),0.212,'-,"0.0116 unit decrease",[0.0083-0.0149],DENND1B,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:197774376
rs17189000-<b>A</b>,"3 x 10-9",(conditional-joint),0.164,'-,"0.0113 unit decrease",[0.0076-0.015],"LINC00467, TRAF5","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:211376090
rs34836421-<b>C</b>,"3 x 10-8",(conditional-joint),0.1933,'-,"0.0098 unit increase",[0.0063-0.0133],LINC02608,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,1:212216255
rs12693403-<b>C</b>,"3 x 10-10",(conditional-joint),0.5315,'-,"0.009 unit increase",[0.0063-0.0117],'-,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:185238548
rs12693677-<b>A</b>,"3 x 10-12",(conditional-joint),0.5218,'-,"0.0102 unit decrease",[0.0073-0.0131],'-,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:192976014
rs2245901-<b>A</b>,"4 x 10-10",(conditional-joint),0.3983,'-,"0.0093 unit decrease",[0.0064-0.0122],'-,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:193431569
rs1455350-<b>A</b>,"2 x 10-24",(conditional-joint),0.4862,'-,"0.0144 unit decrease",[0.012-0.017],"PLCL1, RNU7-147P","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:198632391
rs12693889-<b>T</b>,"5 x 10-10",(conditional-joint),0.1764,'-,"0.0115 unit decrease",[0.008-0.015],LINC01877,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:199608935
rs12623702-<b>A</b>,"3 x 10-11",(conditional-joint),0.6171,'-,"0.0096 unit increase",[0.0069-0.0123],"FZD7, RNU6-440P","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:202020783
rs4132462-<b>T</b>,"4 x 10-19",(conditional-joint),0.299,'-,"0.0138 unit decrease",[0.011-0.017],ERBB4,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:211770864
rs10190431-<b>T</b>,"6 x 10-10",(conditional-joint),0.5802,'-,"0.0088 unit decrease",[0.0061-0.0115],SPAG16,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:214183488
rs1971218-<b>A</b>,"5 x 10-9",(conditional-joint),0.5249,'-,"0.0083 unit increase",[0.0056-0.011],"MIR4268, EPHA4","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:220970568
rs72964692-<b>C</b>,"4 x 10-8",(conditional-joint),0.8138,'-,"0.0099 unit decrease",[0.0064-0.0134],'-,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:225217781
rs2014896-<b>T</b>,"5 x 10-12",(conditional-joint),0.6856,'-,"0.0105 unit increase",[0.0076-0.0134],NYAP2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:225665559
rs2091513-<b>T</b>,"2 x 10-11",(conditional-joint),0.8399,'-,"0.0129 unit decrease",[0.0092-0.0166],"LINC00299, SNF8P1","Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,2:228303673
rs62236816-<b>A</b>,"5 x 10-13",(conditional-joint),0.6431,'-,"0.0106 unit decrease",[0.0077-0.0135],LMCD1-AS1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,3:8210404
rs14154-<b>C</b>,"5 x 10-8",(conditional-joint),0.4795,'-,"0.0077 unit decrease",[0.005-0.0104],ATP2B2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,3:10326429
rs6773869-<b>A</b>,"5 x 10-17",(conditional-joint),0.6344,'-,"0.0122 unit increase",[0.0093-0.0151],PLCL2,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,3:16828841
rs6769567-<b>T</b>,"2 x 10-9",(conditional-joint),0.5313,'-,"0.0085 unit decrease",[0.0058-0.0112],SGO1-AS1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,3:20471469
rs62262084-<b>T</b>,"2 x 10-14",(conditional-joint),0.2487,'-,"0.0127 unit decrease",[0.0094-0.016],SMARCC1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,3:47612332
rs11712056-<b>T</b>,"2 x 10-26",(conditional-joint),0.5638,'-,"0.0169 unit increase",[0.014-0.02],ACTL11P,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,3:49876964
rs112634398-<b>A</b>,"1 x 10-10",(conditional-joint),0.9514,'-,"0.0223 unit increase",[0.015-0.029],RBM6,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,3:50038061
rs36051354-<b>T</b>,"1 x 10-9",(conditional-joint),0.6785,'-,"0.0093 unit increase",[0.0064-0.0122],SFMBT1,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,3:52951996
rs3774605-<b>A</b>,"1 x 10-9",(conditional-joint),0.351,'-,"0.0089 unit decrease",[0.006-0.0118],CACNA1D,"Educational attainment (years of education)","self reported educational attainment",'-,GCST006442,3:53796740
