"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs114002140-<b>A</b>,"9 x 10-14",,0.763,1.67,'-,[1.63-1.71],HLA-DRB9,Schizophrenia,schizophrenia,'-,GCST002149,6:32464185
rs7085104-<b>A</b>,"4 x 10-13",,0.645,1.11,'-,[1.08-1.14],'-,Schizophrenia,schizophrenia,'-,GCST002149,"Mapping not available"
rs6461049-<b>T</b>,"6 x 10-13",,0.571,1.107,'-,[1.08-1.13],MAD1L1,Schizophrenia,schizophrenia,'-,GCST002149,7:1977810
rs1198588-<b>T</b>,"2 x 10-12",,0.786,1.1249,'-,[1.09-1.16],NFU1P2,Schizophrenia,schizophrenia,'-,GCST002149,1:98087276
rs1006737-<b>A</b>,"5 x 10-12",,0.332,1.103,'-,[1.08-1.13],CACNA1C,Schizophrenia,schizophrenia,'-,GCST002149,12:2236129
rs17691888-<b>G</b>,"1 x 10-10",,0.886,1.16,'-,[1.11-1.21],CACNB2,Schizophrenia,schizophrenia,'-,GCST002149,10:18445599
rs4129585-<b>A</b>,"2 x 10-10",,0.439,1.091,'-,[1.06-1.12],TSNARE1,Schizophrenia,schizophrenia,'-,GCST002149,8:142231572
rs10789369-<b>A</b>,"4 x 10-10",,0.383,1.095,'-,[1.07-1.12],LINC01360,Schizophrenia,schizophrenia,'-,GCST002149,1:73359226
rs7940866-<b>T</b>,"2 x 10-9",,0.487,1.09,'-,[1.06-1.12],"RN7SL167P, SNX19",Schizophrenia,schizophrenia,'-,GCST002149,11:130947684
rs17504622-<b>T</b>,"3 x 10-9",,0.05,1.238,'-,[1.17-1.31],LINC01470,Schizophrenia,schizophrenia,'-,GCST002149,5:153274919
rs2905424-<b>T</b>,"3 x 10-9",,0.348,1.092,'-,[1.06-1.12],"MAU2, GATAD2A",Schizophrenia,schizophrenia,'-,GCST002149,19:19362636
rs2373000-<b>T</b>,"7 x 10-9",,0.402,1.087,'-,[1.06-1.11],QPCT,Schizophrenia,schizophrenia,'-,GCST002149,2:37365485
rs6878284-<b>C</b>,"9 x 10-9",,0.363,1.09,'-,[1.06-1.12],SLCO6A1,Schizophrenia,schizophrenia,'-,GCST002149,5:102434022
rs4687552-<b>T</b>,"1 x 10-8",,0.641,1.086,'-,[1.06-1.11],ITIH3,Schizophrenia,schizophrenia,'-,GCST002149,3:52804386
rs12991836-<b>C</b>,"1 x 10-8",,0.348,1.08,'-,[1.05-1.11],ZEB2,Schizophrenia,schizophrenia,'-,GCST002149,2:144383974
rs2949006-<b>T</b>,"1 x 10-8",,0.192,1.102,'-,[1.07-1.14],'-,Schizophrenia,schizophrenia,'-,GCST002149,"Mapping not available"
rs4801131-<b>C</b>,"1 x 10-8",,0.582,1.08,'-,[1.05-1.11],LINC01929,Schizophrenia,schizophrenia,'-,GCST002149,18:55085469
rs778371-<b>G</b>,"2 x 10-8",,0.281,1.09,'-,[1.06-1.12],SNORC,Schizophrenia,schizophrenia,'-,GCST002149,2:232878399
rs14403-<b>C</b>,"2 x 10-8",,0.773,1.1,'-,[1.07-1.13],AKT3,Schizophrenia,schizophrenia,'-,GCST002149,1:243500591
rs11532322-<b>A</b>,"2 x 10-8",,0.318,1.094,'-,[1.06-1.13],C12orf65,Schizophrenia,schizophrenia,'-,GCST002149,12:123246876
rs11995572-<b>T</b>,"3 x 10-8",,0.135,1.12,'-,[1.08-1.16],SLC45A4,Schizophrenia,schizophrenia,'-,GCST002149,8:88579854
rs171748-<b>A</b>,"4 x 10-8",,0.471,1.078,'-,[1.05-1.11],"LINC02057, SMIM15-AS1",Schizophrenia,schizophrenia,'-,GCST002149,5:61203304
rs4380187-<b>A</b>,"6 x 10-8",,0.529,1.078,'-,[1.05-1.11],'-,Schizophrenia,schizophrenia,'-,GCST002149,"Mapping not available"
rs4523957-<b>T</b>,"6 x 10-8",,0.616,1.083,'-,[1.05-1.11],SRR,Schizophrenia,schizophrenia,'-,GCST002149,17:2305605
rs6550435-<b>G</b>,"6 x 10-8",,0.344,1.08,'-,[1.05-1.11],"LINC02033, TRANK1",Schizophrenia,schizophrenia,'-,GCST002149,3:36822998
rs1538774-<b>G</b>,"3 x 10-8",,0.74,1.09,'-,[1.06-1.12],SDCCAG8,Schizophrenia,schizophrenia,'-,GCST002149,1:243381525
rs2910032-<b>C</b>,"4 x 10-8",,0.469,1.08,'-,[1.05-1.11],LINC01470,Schizophrenia,schizophrenia,'-,GCST002149,5:153160794
rs1635-<b>?</b>,"7 x 10-12",,NR,1.28,'-,[1.22-1.37],NKAPL,Schizophrenia,schizophrenia,'-,GCST001299,6:28259826
rs11038167-<b>?</b>,"1 x 10-11",,NR,1.29,'-,[1.23-1.36],TSPAN18,Schizophrenia,schizophrenia,'-,GCST001299,11:44821583
rs7527939-<b>C</b>,"6 x 10-9",,NR,2.63,'-,[1.89-3.66],HHAT,Schizophrenia,schizophrenia,'-,GCST001733,1:210362681
rs1412115-<b>?</b>,"6 x 10-6",,0.37,'-,'-,'-,"LINC00838, RPL23P11",Schizophrenia,schizophrenia,'-,GCST001119,10:33799125
rs4803480-<b>A</b>,"1 x 10-7",,0.13,'-,'-,'-,CEACAM21,Schizophrenia,schizophrenia,'-,GCST001119,19:41559909
rs7017212-<b>?</b>,"4 x 10-6",,.41,'-,'-,'-,MSRA,Schizophrenia,schizophrenia,'-,GCST001110,8:10165428
rs4356203-<b>?</b>,"1 x 10-7",,NR,1.09,'-,[1.06-1.12],PIK3C2A,Schizophrenia,schizophrenia,'-,GCST001242,11:17138601
rs1009080-<b>?</b>,"3 x 10-6",,NR,1.09,'-,[1.05-1.13],LINC01648,Schizophrenia,schizophrenia,'-,GCST001242,1:29958713
rs11130874-<b>?</b>,"2 x 10-6",,NR,1.1,'-,[1.06-1.14],PTPRG,Schizophrenia,schizophrenia,'-,GCST001242,3:62079095
rs6703335-<b>?</b>,"5 x 10-8",,NR,1.09,'-,[1.06-1.13],SDCCAG8,Schizophrenia,schizophrenia,'-,GCST001242,1:243445665
rs13025591-<b>?</b>,"6 x 10-6",,NR,1.07,'-,[1.04-1.11],AGAP1,Schizophrenia,schizophrenia,'-,GCST001242,2:235886699
rs2239547-<b>?</b>,"6 x 10-8",,NR,1.1,'-,[1.06-1.14],ITIH4,Schizophrenia,schizophrenia,'-,GCST001242,3:52821213
rs4624519-<b>?</b>,"2 x 10-7",,NR,1.09,'-,[1.05-1.12],LINC02033,Schizophrenia,schizophrenia,'-,GCST001242,3:36821489
rs1869901-<b>?</b>,"3 x 10-6",,NR,1.07,'-,[1.04-1.09],PLCB2,Schizophrenia,schizophrenia,'-,GCST001242,15:40303426
rs17512836-<b>C</b>,"1 x 10-6",,0.02,1.23,'-,[1.14-1.31],TCF4,Schizophrenia,schizophrenia,'-,GCST001242,18:55527730
rs12699131-<b>?</b>,"2 x 10-6",,NR,1.08,'-,[1.04-1.11],CALN1,Schizophrenia,schizophrenia,'-,GCST001242,7:72286331
rs10503253-<b>A</b>,"2 x 10-8",,0.19,1.16,'-,[1.11-1.21],CSMD1,Schizophrenia,schizophrenia,'-,GCST001242,8:4323322
rs7004633-<b>A</b>,"2 x 10-7",,0.18,1.11,'-,[1.07-1.15],'-,Schizophrenia,schizophrenia,'-,GCST001242,8:88748082
rs2021722-<b>C</b>,"2 x 10-12",,0.78,1.15,'-,[1.11-1.19],TRIM26,Schizophrenia,schizophrenia,'-,GCST001242,6:30206354
rs10894294-<b>?</b>,"3 x 10-6",,NR,1.08,'-,[1.05-1.12],"RN7SL167P, SNX19",Schizophrenia,schizophrenia,'-,GCST001242,11:130960853
rs16915157-<b>?</b>,"5 x 10-6",,NR,1.1,'-,[1.06-1.14],ANK3,Schizophrenia,schizophrenia,'-,GCST001242,10:60586880
rs7914558-<b>G</b>,"2 x 10-8",,0.59,1.22,'-,[1.15-1.29],CNNM2,Schizophrenia,schizophrenia,'-,GCST001242,10:103016151
rs11191580-<b>T</b>,"3 x 10-8",,0.91,1.2,'-,[1.13-1.26],NT5C2,Schizophrenia,schizophrenia,'-,GCST001242,10:103146454
rs548181-<b>G</b>,"1 x 10-6",,0.88,1.1,'-,[1.06-1.14],"STT3A, FEZ1",Schizophrenia,schizophrenia,'-,GCST001242,11:125591814
rs4765905-<b>?</b>,"2 x 10-6",,NR,1.08,'-,[1.05-1.11],CACNA1C,Schizophrenia,schizophrenia,'-,GCST001242,12:2240418
rs4775413-<b>?</b>,"2 x 10-6",,NR,1.08,'-,[1.04-1.11],'-,Schizophrenia,schizophrenia,'-,GCST001242,15:61547904
rs12966547-<b>G</b>,"3 x 10-8",,0.58,1.4,'-,[1.28-1.52],LINC01929,Schizophrenia,schizophrenia,'-,GCST001242,18:55084786
rs2252865-<b>?</b>,"3 x 10-6",,NR,1.08,'-,[1.04-1.11],RERE,Schizophrenia,schizophrenia,'-,GCST001242,1:8362616
rs1625579-<b>T</b>,"2 x 10-11",,0.80,1.12,'-,[1.09-1.16],MIR137HG,Schizophrenia,schizophrenia,'-,GCST001242,1:98037378
rs17662626-<b>A</b>,"5 x 10-8",,0.91,1.2,'-,[1.13-1.26],'-,Schizophrenia,schizophrenia,'-,GCST001242,2:193119895
rs1879248-<b>?</b>,"7 x 10-6",,NR,1.07,'-,[1.04-1.11],CCDC39,Schizophrenia,schizophrenia,'-,GCST001242,3:180833426
rs9512730-<b>?</b>,"5 x 10-6",,0.26,1.52,'-,[NR],"LNX2, RNU6-63P",Schizophrenia,schizophrenia,'-,GCST000164,13:27503007
rs151222-<b>?</b>,"6 x 10-6",,0.08,2.1,'-,[NR],"ACSM3, ACSM1",Schizophrenia,schizophrenia,'-,GCST000164,16:20663170
rs16977195-<b>?</b>,"2 x 10-6",,0.03,6.01,'-,[NR],AGBL1,Schizophrenia,schizophrenia,'-,GCST000164,15:86441009
rs4846033-<b>?</b>,"4 x 10-6",,0.01,2.87,'-,[NR],"DRAXIN, AGTRAP",Schizophrenia,schizophrenia,'-,GCST000164,1:11728507
rs10911902-<b>?</b>,"2 x 10-6",,0.17,1.79,'-,[NR],"SSBP3, PTGS2",Schizophrenia,schizophrenia,'-,GCST000164,1:186663185
rs2159767-<b>?</b>,"7 x 10-6",,0.62,1.33,'-,[NR],'-,Schizophrenia,schizophrenia,'-,GCST000164,X:148299501
rs211829-<b>T</b>,"4 x 10-8",,0.628,1.061,'-,[1.039-1.083],'-,Schizophrenia,schizophrenia,'-,GCST002539,7:110408836
rs215411-<b>A</b>,"3 x 10-8",,0.314,1.064,'-,[1.041-1.087],RFPL4AP3,Schizophrenia,schizophrenia,'-,GCST002539,4:23421980
rs1498232-<b>T</b>,"3 x 10-9",,0.296,1.069,'-,[1.046-1.093],LINC01648,Schizophrenia,schizophrenia,'-,GCST002539,1:29961104
rs10520163-<b>T</b>,"1 x 10-9",,0.47,1.065,'-,[1.043-1.086],CLCN3,Schizophrenia,schizophrenia,'-,GCST002539,4:169705401
rs12129573-<b>A</b>,"2 x 10-12",,0.358,1.078,'-,[1.056-1.101],"LINC01360, RN7SKP19",Schizophrenia,schizophrenia,'-,GCST002539,1:73302683
rs1501357-<b>C</b>,"5 x 10-9",,0.198,1.0799136,'-,[1.05-1.11],HCN1,Schizophrenia,schizophrenia,'-,GCST002539,5:45364773
rs140505938-<b>T</b>,"4 x 10-10",,0.836,1.0940919,'-,[1.06-1.13],"VPS45, OTUD7B",Schizophrenia,schizophrenia,'-,GCST002539,1:150059494
rs6670165-<b>T</b>,"4 x 10-8",,0.184,1.075,'-,[1.047-1.103],"LINC01645, BRINP2",Schizophrenia,schizophrenia,'-,GCST002539,1:177310985
rs7523273-<b>A</b>,"4 x 10-8",,0.685,1.063,'-,[1.040-1.087],MIR29B2CHG,Schizophrenia,schizophrenia,'-,GCST002539,1:207803738
rs77149735-<b>A</b>,"4 x 10-9",,0.0191,1.317,'-,[1.202-1.444],SDCCAG8,Schizophrenia,schizophrenia,'-,GCST002539,1:243391803
rs11682175-<b>C</b>,"1 x 10-11",,0.458,1.0718113,'-,[1.05-1.09],ACTG1P22,Schizophrenia,schizophrenia,'-,GCST002539,2:57760458
rs3768644-<b>G</b>,"7 x 10-9",,0.899,1.1061947,'-,[1.07-1.14],CYP26B1,Schizophrenia,schizophrenia,'-,GCST002539,2:72134376
rs2909457-<b>G</b>,"5 x 10-8",,0.407,1.059322,'-,[1.04-1.08],"SLC4A10, DPP4",Schizophrenia,schizophrenia,'-,GCST002539,2:161989345
rs11693094-<b>C</b>,"2 x 10-12",,0.542,1.0764263,'-,[1.05-1.1],ZNF804A,Schizophrenia,schizophrenia,'-,GCST002539,2:184736693
rs59979824-<b>C</b>,"8 x 10-9",,0.663,1.0672358,'-,[1.04-1.09],"PCGEM1, SLC44A3P1",Schizophrenia,schizophrenia,'-,GCST002539,2:192983614
rs6434928-<b>G</b>,"2 x 10-11",,0.357,1.0764263,'-,[1.05-1.1],"SF3B1, RNU6-1029P",Schizophrenia,schizophrenia,'-,GCST002539,2:197439853
rs12704290-<b>G</b>,"3 x 10-10",,0.877,1.1061947,'-,[1.07-1.14],"GRM3, GRM3-AS1",Schizophrenia,schizophrenia,'-,GCST002539,7:86798310
rs11685299-<b>C</b>,"1 x 10-8",,0.674,1.0649627,'-,[1.04-1.09],CUL3,Schizophrenia,schizophrenia,'-,GCST002539,2:224526579
rs13240464-<b>T</b>,"3 x 10-13",,0.647,1.083,'-,[1.060-1.106],IMMP2L,Schizophrenia,schizophrenia,'-,GCST002539,7:111258859
rs17194490-<b>T</b>,"3 x 10-11",,0.156,1.101,'-,[1.070-1.132],CNTN4,Schizophrenia,schizophrenia,'-,GCST002539,3:2506102
rs3735025-<b>T</b>,"3 x 10-9",,0.642,1.066,'-,[1.043-1.089],DGKI,Schizophrenia,schizophrenia,'-,GCST002539,7:137390098
rs75968099-<b>T</b>,"1 x 10-13",,0.324,1.085,'-,[1.062-1.109],"HSPD1P6, LINC02033",Schizophrenia,schizophrenia,'-,GCST002539,3:36817092
rs2535627-<b>T</b>,"4 x 10-11",,0.529,1.071,'-,[1.049-1.092],"ITIH4, ITIH3",Schizophrenia,schizophrenia,'-,GCST002539,3:52811089
rs6984242-<b>G</b>,"6 x 10-9",,0.4,1.0626993,'-,[1.04-1.08],'-,Schizophrenia,schizophrenia,'-,GCST002539,8:59787910
rs7819570-<b>T</b>,"1 x 10-8",,0.174,1.079,'-,[1.051-1.108],'-,Schizophrenia,schizophrenia,'-,GCST002539,8:88576397
rs36068923-<b>G</b>,"3 x 10-11",,0.197,1.0881393,'-,[1.06-1.12],SINHCAFP3,Schizophrenia,schizophrenia,'-,GCST002539,8:110473532
rs4129585-<b>A</b>,"2 x 10-15",,0.424,1.087,'-,[1.065-1.109],TSNARE1,Schizophrenia,schizophrenia,'-,GCST002539,8:142231572
rs11139497-<b>A</b>,"4 x 10-9",,0.337,1.069,'-,[1.045-1.093],DDX10P2,Schizophrenia,schizophrenia,'-,GCST002539,9:82125026
rs7893279-<b>T</b>,"2 x 10-12",,0.889,1.125,'-,[1.088-1.162],CACNB2,Schizophrenia,schizophrenia,'-,GCST002539,10:18456176
rs11191419-<b>T</b>,"6 x 10-19",,0.64,1.1037527,'-,[1.08-1.13],"PTGES3P4, BORCS7",Schizophrenia,schizophrenia,'-,GCST002539,10:102852578
rs11027857-<b>A</b>,"3 x 10-9",,0.499,1.064,'-,[1.042-1.085],Y_RNA,Schizophrenia,schizophrenia,'-,GCST002539,11:24382074
rs9420-<b>A</b>,"2 x 10-9",,0.311,1.068,'-,[1.045-1.092],SELENOH,Schizophrenia,schizophrenia,'-,GCST002539,11:57742822
rs12421382-<b>C</b>,"4 x 10-8",,0.666,1.0626993,'-,[1.04-1.09],C11orf87,Schizophrenia,schizophrenia,'-,GCST002539,11:109507345
rs2514218-<b>C</b>,"3 x 10-11",,0.686,1.0787487,'-,[1.05-1.1],DRD2,Schizophrenia,schizophrenia,'-,GCST002539,11:113522272
rs77502336-<b>C</b>,"8 x 10-9",,0.322,1.066,'-,[1.043-1.090],GRAMD1B,Schizophrenia,schizophrenia,'-,GCST002539,11:123523928
rs55661361-<b>G</b>,"3 x 10-12",,0.665,1.0799136,'-,[1.06-1.1],NRGN,Schizophrenia,schizophrenia,'-,GCST002539,11:124744061
rs10791097-<b>T</b>,"1 x 10-12",,0.46,1.076,'-,[1.055-1.098],'-,Schizophrenia,schizophrenia,'-,GCST002539,"Mapping not available"
rs75059851-<b>A</b>,"4 x 10-11",,0.797,1.091,'-,[1.063-1.119],IGSF9B,Schizophrenia,schizophrenia,'-,GCST002539,11:133952674
rs2007044-<b>G</b>,"3 x 10-18",,0.376,1.0964912,'-,[1.07-1.12],CACNA1C,Schizophrenia,schizophrenia,'-,GCST002539,12:2235794
rs679087-<b>C</b>,"4 x 10-8",,0.663,1.0626993,'-,[1.04-1.09],TMTC1,Schizophrenia,schizophrenia,'-,GCST002539,12:29764332
rs12826178-<b>G</b>,"2 x 10-12",,0.929,1.1820331,'-,[1.13-1.24],"SHMT2, NXPH4",Schizophrenia,schizophrenia,'-,GCST002539,12:57228588
rs4240748-<b>G</b>,"5 x 10-8",,0.634,1.0604454,'-,[1.04-1.08],LINC02404,Schizophrenia,schizophrenia,'-,GCST002539,12:91853010
rs10860964-<b>T</b>,"5 x 10-8",,0.646,1.06,'-,[1.038-1.083],C12orf42,Schizophrenia,schizophrenia,'-,GCST002539,12:103202677
rs4766428-<b>T</b>,"1 x 10-9",,0.474,1.068,'-,[1.045-1.091],ATP2A2,Schizophrenia,schizophrenia,'-,GCST002539,12:110285440
rs2851447-<b>G</b>,"2 x 10-14",,0.259,1.0928961,'-,[1.07-1.12],MPHOSPH9,Schizophrenia,schizophrenia,'-,GCST002539,12:123180566
rs2068012-<b>C</b>,"1 x 10-8",,0.229,1.0718113,'-,[1.05-1.1],PRKD1,Schizophrenia,schizophrenia,'-,GCST002539,14:29721110
rs2332700-<b>C</b>,"5 x 10-9",,0.249,1.073,'-,[1.048-1.098],RGS6,Schizophrenia,schizophrenia,'-,GCST002539,14:71950609
rs2693698-<b>G</b>,"5 x 10-9",,0.582,1.0649627,'-,[1.04-1.09],BCL11B,Schizophrenia,schizophrenia,'-,GCST002539,14:99252882
rs12887734-<b>T</b>,"1 x 10-13",,0.287,1.088,'-,[1.064-1.113],"COA8, KLC1",Schizophrenia,schizophrenia,'-,GCST002539,14:103580497
rs56205728-<b>A</b>,"4 x 10-9",,0.274,1.074,'-,[1.048-1.099],PAK6,Schizophrenia,schizophrenia,'-,GCST002539,15:40275036
rs12903146-<b>A</b>,"3 x 10-10",,0.52,1.067,'-,[1.046-1.089],'-,Schizophrenia,schizophrenia,'-,GCST002539,15:61562464
rs9841616-<b>T</b>,"2 x 10-8",,0.833,1.081081,'-,[1.05-1.11],SOX2-OT,Schizophrenia,schizophrenia,'-,GCST002539,3:181449797
rs4648845-<b>T</b>,"9 x 10-10",,0.527,1.072,'-,[1.049-1.097],PLCH2,Schizophrenia,schizophrenia,'-,GCST002539,1:2455662
rs35518360-<b>T</b>,"8 x 10-15",,0.078,1.166861,'-,[1.12-1.21],"SLC39A8, BANK1",Schizophrenia,schizophrenia,'-,GCST002539,4:102225733
rs11210892-<b>A</b>,"3 x 10-10",,0.323,1.0706638,'-,[1.05-1.09],"KDM4A, PTPRF",Schizophrenia,schizophrenia,'-,GCST002539,1:43634413
rs1106568-<b>G</b>,"9 x 10-9",,0.239,1.0706638,'-,[1.05-1.1],GPM6A,Schizophrenia,schizophrenia,'-,GCST002539,4:175940150
rs1702294-<b>C</b>,"3 x 10-19",,0.809,1.1273957,'-,[1.1-1.16],'-,Schizophrenia,schizophrenia,'-,GCST002539,"Mapping not available"
rs4391122-<b>G</b>,"1 x 10-14",,0.468,1.0845987,'-,[1.06-1.11],LINC02057,Schizophrenia,schizophrenia,'-,GCST002539,5:61302716
rs16867576-<b>A</b>,"5 x 10-9",,0.883,1.101,'-,[1.066-1.138],MEF2C-AS1,Schizophrenia,schizophrenia,'-,GCST002539,5:89450514
rs4388249-<b>T</b>,"3 x 10-8",,0.213,1.076,'-,[1.048-1.104],MAN2A1,Schizophrenia,schizophrenia,'-,GCST002539,5:109700365
rs3849046-<b>T</b>,"5 x 10-9",,0.523,1.063,'-,[1.042-1.085],ETF1,Schizophrenia,schizophrenia,'-,GCST002539,5:138515503
rs111294930-<b>A</b>,"1 x 10-10",,0.782,1.094,'-,[1.064-1.124],LINC01470,Schizophrenia,schizophrenia,'-,GCST002539,5:152797561
rs11740474-<b>T</b>,"3 x 10-8",,0.379,1.0615711,'-,[1.04-1.08],GALNT10,Schizophrenia,schizophrenia,'-,GCST002539,5:154301187
rs115329265-<b>A</b>,"3 x 10-31",,0.85,1.205,'-,[1.168-1.244],"RPSAP2, NOP56P1",Schizophrenia,schizophrenia,'-,GCST002539,6:28744470
rs1339227-<b>C</b>,"3 x 10-8",,0.632,1.0615711,'-,[1.04-1.08],RIMS1,Schizophrenia,schizophrenia,'-,GCST002539,6:72445999
rs117074560-<b>C</b>,"2 x 10-9",,0.9524,1.1778563,'-,[1.12-1.24],"KRT18P50, FUT9",Schizophrenia,schizophrenia,'-,GCST002539,6:96011775
rs6704641-<b>A</b>,"8 x 10-9",,0.805,1.081,'-,[1.053-1.110],SATB2,Schizophrenia,schizophrenia,'-,GCST002539,2:199299529
rs6466055-<b>A</b>,"1 x 10-9",,0.332,1.068,'-,[1.046-1.091],SRPK2,Schizophrenia,schizophrenia,'-,GCST002539,7:105288617
rs6704768-<b>G</b>,"2 x 10-12",,0.448,1.0752687,'-,[1.05-1.1],GIGYF2,Schizophrenia,schizophrenia,'-,GCST002539,2:232727791
rs7801375-<b>G</b>,"4 x 10-8",,0.848,1.0822511,'-,[1.05-1.11],CAPZA1P4,Schizophrenia,schizophrenia,'-,GCST002539,7:131882504
rs4330281-<b>C</b>,"5 x 10-9",,0.52,1.0638298,'-,[1.04-1.09],TBC1D5,Schizophrenia,schizophrenia,'-,GCST002539,3:17817874
rs10503253-<b>A</b>,"1 x 10-8",,0.219,1.073,'-,[1.048-1.100],CSMD1,Schizophrenia,schizophrenia,'-,GCST002539,8:4323322
rs73229090-<b>C</b>,"2 x 10-8",,0.884,1.1013216,'-,[1.06-1.14],GULOP,Schizophrenia,schizophrenia,'-,GCST002539,8:27584610
rs832187-<b>C</b>,"1 x 10-8",,0.385,1.0626993,'-,[1.04-1.08],"C3orf49, THOC7",Schizophrenia,schizophrenia,'-,GCST002539,3:63847374
rs7432375-<b>G</b>,"7 x 10-11",,0.551,1.0718113,'-,[1.05-1.09],STAG1,Schizophrenia,schizophrenia,'-,GCST002539,3:136569563
rs12148337-<b>T</b>,"2 x 10-8",,0.465,1.06,'-,[1.038-1.081],'-,Schizophrenia,schizophrenia,'-,GCST002539,15:70296933
rs8042374-<b>A</b>,"2 x 10-13",,0.725,1.093,'-,[1.067-1.119],CHRNA3,Schizophrenia,schizophrenia,'-,GCST002539,15:78615690
rs950169-<b>C</b>,"2 x 10-11",,0.743,1.0834236,'-,[1.06-1.11],ADAMTSL3,Schizophrenia,schizophrenia,'-,GCST002539,15:84037709
rs4702-<b>G</b>,"8 x 10-14",,0.438,1.0845987,'-,[1.06-1.11],FURIN,Schizophrenia,schizophrenia,'-,GCST002539,15:90883330
rs9922678-<b>A</b>,"1 x 10-8",,0.281,1.067,'-,[1.043-1.091],GRIN2A,Schizophrenia,schizophrenia,'-,GCST002539,16:9852462
rs7405404-<b>T</b>,"1 x 10-9",,0.223,1.077,'-,[1.052-1.103],'-,Schizophrenia,schizophrenia,'-,GCST002539,"Mapping not available"
rs12691307-<b>A</b>,"5 x 10-11",,0.51,1.073,'-,[1.051-1.096],"KCTD13, TMEM219",Schizophrenia,schizophrenia,'-,GCST002539,16:29928556
rs12325245-<b>T</b>,"2 x 10-8",,0.141,1.0869565,'-,[1.06-1.12],"SLC38A7, CNOT1",Schizophrenia,schizophrenia,'-,GCST002539,16:58647489
rs8044995-<b>A</b>,"2 x 10-8",,0.162,1.081,'-,[1.052-1.111],NFATC3,Schizophrenia,schizophrenia,'-,GCST002539,16:68155437
rs4523957-<b>T</b>,"3 x 10-10",,0.627,1.071,'-,[1.049-1.094],SRR,Schizophrenia,schizophrenia,'-,GCST002539,17:2305605
rs8082590-<b>G</b>,"2 x 10-8",,0.386,1.0649627,'-,[1.04-1.09],GID4,Schizophrenia,schizophrenia,'-,GCST002539,17:18055088
rs9636107-<b>G</b>,"3 x 10-12",,0.497,1.0752687,'-,[1.05-1.1],TCF4,Schizophrenia,schizophrenia,'-,GCST002539,18:55532886
rs72934570-<b>C</b>,"2 x 10-11",,0.9203,1.1454753,'-,[1.1-1.19],"LINC01415, LINC01416",Schizophrenia,schizophrenia,'-,GCST002539,18:55865958
rs2905426-<b>G</b>,"4 x 10-10",,0.372,1.0706638,'-,[1.05-1.09],"GATAD2A, MAU2",Schizophrenia,schizophrenia,'-,GCST002539,19:19367213
rs2053079-<b>G</b>,"4 x 10-9",,0.231,1.0741138,'-,[1.05-1.1],ZNF536,Schizophrenia,schizophrenia,'-,GCST002539,19:30496516
rs56873913-<b>T</b>,"5 x 10-8",,0.766,1.071,'-,[1.045-1.098],"PRRG2, NOSIP",Schizophrenia,schizophrenia,'-,GCST002539,19:49587942
rs6065094-<b>G</b>,"1 x 10-11",,0.678,1.0775862,'-,[1.05-1.1],'-,Schizophrenia,schizophrenia,'-,GCST002539,"Mapping not available"
rs7267348-<b>C</b>,"5 x 10-8",,0.246,1.0672358,'-,[1.04-1.09],'-,Schizophrenia,schizophrenia,'-,GCST002539,"Mapping not available"
rs9607782-<b>A</b>,"2 x 10-11",,0.232,1.087,'-,[1.060-1.113],EP300-AS1,Schizophrenia,schizophrenia,'-,GCST002539,22:41191552
rs6002655-<b>T</b>,"2 x 10-9",,0.443,1.066,'-,[1.044-1.088],TCF20,Schizophrenia,schizophrenia,'-,GCST002539,22:42207808
rs12845396-<b>T</b>,"2 x 10-8",,0.247,1.0559661,'-,[1.04-1.08],NLGN4X,Schizophrenia,schizophrenia,'-,GCST002539,X:6111492
rs1378559-<b>T</b>,"2 x 10-12",,0.831,1.09,'-,[1.064-1.116],"CNKSR2, RNU6-133P",Schizophrenia,schizophrenia,'-,GCST002539,X:21362148
rs5937157-<b>G</b>,"2 x 10-10",,0.241,1.066098,'-,[1.05-1.09],PJA1,Schizophrenia,schizophrenia,'-,GCST002539,X:69157283
rs7341475-<b>G</b>,"9 x 10-7",,0.62,1.58,'-,[1.31-1.89],RELN,Schizophrenia,schizophrenia,'-,GCST000155,7:103764368
rs6083-<b>A</b>,"5 x 10-6",,NR,1.29,'-,[NR],LIPC,Schizophrenia,schizophrenia,'-,GCST003050,15:58545811
rs67900830-<b>A</b>,"4 x 10-6",,NR,1.4705882,'-,[NR],CRYAA,Schizophrenia,schizophrenia,'-,GCST003050,21:43195762
rs76569837-<b>G</b>,"3 x 10-6",,NR,2.7,'-,[NR],U6,Schizophrenia,schizophrenia,'-,GCST003050,12:45565980
rs66831316-<b>?</b>,"3 x 10-6",,NR,1.2820514,'-,[NR],'-,Schizophrenia,schizophrenia,'-,GCST003050,"Mapping not available"
rs189918-<b>C</b>,"4 x 10-6",,NR,1.0526316,'-,[NR],DNAJC11,Schizophrenia,schizophrenia,'-,GCST003048,1:6677152
rs190474885-<b>C</b>,"1 x 10-6",,NR,1.2048193,'-,[NR],NT5C2,Schizophrenia,schizophrenia,'-,GCST003048,10:103213560
rs55661361-<b>G</b>,"1 x 10-12",,NR,1.0869565,'-,[NR],NRGN,Schizophrenia,schizophrenia,'-,GCST003048,11:124744061
