"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs8046696-<b>T</b>,"2 x 10-16",,0.4311,'-,"0.0479 unit decrease",[0.037-0.059],CFDP1,"Coronary artery disease","coronary artery disease",'-,GCST005195,16:75408245
rs515135-<b>T</b>,"6 x 10-17",,0.1837,'-,"0.0555 unit decrease",[0.043-0.068],"TDRD15, APOB","Coronary artery disease","coronary artery disease",'-,GCST005195,2:21063185
rs7412-<b>T</b>,"2 x 10-35",,0.079,'-,"0.1368 unit decrease",[0.12-0.16],APOE,"Coronary artery disease","coronary artery disease",'-,GCST005195,19:44908822
rs606452-<b>A</b>,"5 x 10-11",,0.1707,'-,"0.0466 unit decrease",[0.033-0.061],SERPINH1,"Coronary artery disease","coronary artery disease",'-,GCST005195,11:75565133
rs1169288-<b>A</b>,"1 x 10-18",,0.6725,'-,"0.049 unit decrease",[0.038-0.06],"HNF1A-AS1, HNF1A","Coronary artery disease","coronary artery disease",'-,GCST005195,12:120978847
rs3918226-<b>T</b>,"1 x 10-20",,0.0732,'-,"0.1071 unit increase",[0.085-0.13],NOS3,"Coronary artery disease","coronary artery disease",'-,GCST005195,7:150993088
rs1412444-<b>T</b>,"2 x 10-21",,0.3527,'-,"0.0559 unit increase",[0.044-0.067],LIPA,"Coronary artery disease","coronary artery disease",'-,GCST005195,10:89243170
rs6982502-<b>T</b>,"8 x 10-23",,0.5298,'-,"0.0498 unit decrease",[0.04-0.06],"TRIB1, LINC00861","Coronary artery disease","coronary artery disease",'-,GCST005195,8:125467120
rs7173743-<b>T</b>,"5 x 10-36",,0.5542,'-,"0.0636 unit increase",[0.054-0.074],MORF4L1,"Coronary artery disease","coronary artery disease",'-,GCST005195,15:78849442
rs6841581-<b>A</b>,"5 x 10-24",,0.1559,'-,"0.0751 unit increase",[0.061-0.09],"PRMT5P1, EDNRA","Coronary artery disease","coronary artery disease",'-,GCST005195,4:147480038
rs2107595-<b>A</b>,"1 x 10-24",,0.1767,'-,"0.0752 unit increase",[0.061-0.09],"HDAC9, TWIST1","Coronary artery disease","coronary artery disease",'-,GCST005195,7:19009765
rs28451064-<b>A</b>,"3 x 10-33",,0.1239,'-,"0.1083 unit increase",[0.091-0.126],"LINC00310, KCNE2","Coronary artery disease","coronary artery disease",'-,GCST005195,21:34221526
rs867186-<b>A</b>,"7 x 10-12",,0.8971,'-,"0.0573 unit increase",[0.041-0.074],PROCR,"Coronary artery disease","coronary artery disease",'-,GCST005195,20:35176751
rs644045-<b>A</b>,"3 x 10-13",,0.3528,'-,"0.0413 unit decrease",[0.03-0.052],C2,"Coronary artery disease","coronary artery disease",'-,GCST005195,6:31916180
rs6909752-<b>A</b>,"6 x 10-14",,0.3545,'-,"0.0442 unit increase",[0.033-0.056],CASC15,"Coronary artery disease","coronary artery disease",'-,GCST005195,6:22612400
rs789294-<b>C</b>,"3 x 10-15",,0.1649,'-,"0.0642 unit decrease",[0.048-0.08],GPR149,"Coronary artery disease","coronary artery disease",'-,GCST005195,3:154339952
rs7500448-<b>A</b>,"2 x 10-16",,0.7594,'-,"0.0557 unit increase",[0.042-0.069],CDH13,"Coronary artery disease","coronary artery disease",'-,GCST005195,16:83012185
rs2189839-<b>A</b>,"5 x 10-8",,0.2899,'-,"0.0345 unit increase",[0.022-0.047],"BCAP29, DUS4L-BCAP29","Coronary artery disease","coronary artery disease",'-,GCST005195,7:107589581
rs663640-<b>T</b>,"2 x 10-8",,0.222,'-,"0.0383 unit increase",[0.025-0.052],RNU4-17P,"Coronary artery disease","coronary artery disease",'-,GCST005195,18:60178844
rs7926712-<b>A</b>,"9 x 10-9",,0.3101,'-,"0.0351 unit decrease",[0.023-0.047],ARNTL,"Coronary artery disease","coronary artery disease",'-,GCST005195,11:13281538
rs7145159-<b>T</b>,"4 x 10-10",,0.5234,'-,"0.0319 unit decrease",[0.022-0.042],"HIF1AP1, NEK9, ZC2HC1C","Coronary artery disease","coronary artery disease",'-,GCST005195,14:75116565
rs2820315-<b>T</b>,"1 x 10-10",,0.3012,'-,"0.0359 unit increase",[0.025-0.047],LMOD1,"Coronary artery disease","coronary artery disease",'-,GCST005195,1:201903136
rs10237377-<b>T</b>,"7 x 10-9",,0.3608,'-,"0.0338 unit decrease",[0.022-0.045],PARP12,"Coronary artery disease","coronary artery disease",'-,GCST005195,7:140057336
rs1807214-<b>A</b>,"5 x 10-11",,0.8891,'-,"0.0639 unit increase",[0.045-0.083],"KRT18P47, CARMAL","Coronary artery disease","coronary artery disease",'-,GCST005195,15:89022026
rs1050362-<b>A</b>,"3 x 10-11",,0.3755,'-,"0.0352 unit increase",[0.025-0.046],DHX38,"Coronary artery disease","coronary artery disease",'-,GCST005195,16:72096916
rs2814944-<b>A</b>,"2 x 10-11",,0.1554,'-,"0.0479 unit increase",[0.034-0.062],"ILRUN, IFITM3P3","Coronary artery disease","coronary artery disease",'-,GCST005195,6:34585020
rs35158675-<b>A</b>,"6 x 10-28",,0.6821,'-,"0.0699 unit increase",[0.057-0.082],MIA3,"Coronary artery disease","coronary artery disease",'-,GCST005195,1:222656208
rs602633-<b>T</b>,"4 x 10-58",,0.2343,'-,"0.0999 unit decrease",[0.088-0.112],"CELSR2, PSRC1","Coronary artery disease","coronary artery disease",'-,GCST005195,1:109278889
rs974819-<b>T</b>,"1 x 10-28",,0.3082,'-,"0.0614 unit increase",[0.051-0.072],"MIR4693, DYNC2H1","Coronary artery disease","coronary artery disease",'-,GCST005195,11:103789839
rs17081933-<b>A</b>,"1 x 10-8",,0.1979,'-,"0.0399 unit increase",[0.026-0.054],REST,"Coronary artery disease","coronary artery disease",'-,GCST005195,4:56956703
rs2843152-<b>C</b>,"3 x 10-8",,0.2927,'-,"0.0406 unit increase",[0.026-0.055],"MORN1, SKI","Coronary artery disease","coronary artery disease",'-,GCST005196,1:2314131
rs2493298-<b>A</b>,"2 x 10-9",,0.1352,'-,"0.0567 unit increase",[0.038-0.075],PRDM16,"Coronary artery disease","coronary artery disease",'-,GCST005196,1:3409348
rs17037390-<b>A</b>,"2 x 10-7",,0.1674,'-,"0.0395 unit decrease",[0.025-0.054],MTHFR,"Coronary artery disease","coronary artery disease",'-,GCST005196,1:11800786
rs35465346-<b>A</b>,"9 x 10-6",,0.1628,'-,"0.0401 unit decrease",[0.022-0.058],"USP48, LDLRAD2","Coronary artery disease","coronary artery disease",'-,GCST005196,1:21806025
rs4072980-<b>A</b>,"7 x 10-10",,0.433,'-,"0.0353 unit decrease",[0.024-0.046],"SF3A3, RNU6-510P","Coronary artery disease","coronary artery disease",'-,GCST005196,1:37990434
rs11591147-<b>T</b>,"2 x 10-25",,0.0163,'-,"0.2821 unit decrease",[0.23-0.34],PCSK9,"Coronary artery disease","coronary artery disease",'-,GCST005196,1:55039974
rs4634932-<b>T</b>,"1 x 10-25",,0.9213,'-,"0.1286 unit increase",[0.1-0.15],PLPP3,"Coronary artery disease","coronary artery disease",'-,GCST005196,1:56530519
rs17416285-<b>C</b>,"4 x 10-13",,0.8894,'-,"0.0669 unit decrease",[0.049-0.085],PLPP3,"Coronary artery disease","coronary artery disease",'-,GCST005196,1:56554977
rs950037-<b>T</b>,"2 x 10-6",,0.6091,'-,"0.0274 unit decrease",[0.016-0.039],PKN2,"Coronary artery disease","coronary artery disease",'-,GCST005196,1:88685915
rs602633-<b>T</b>,"2 x 10-59",,0.2346,'-,"0.112 unit decrease",[0.098-0.126],"CELSR2, PSRC1","Coronary artery disease","coronary artery disease",'-,GCST005196,1:109278889
rs11806316-<b>A</b>,"5 x 10-10",,0.3665,'-,"0.0369 unit decrease",[0.025-0.048],NGF-AS1,"Coronary artery disease","coronary artery disease",'-,GCST005196,1:115210861
rs11204666-<b>T</b>,"3 x 10-7",,0.1835,'-,"0.0389 unit decrease",[0.024-0.054],MCL1,"Coronary artery disease","coronary artery disease",'-,GCST005196,1:150570652
rs11810571-<b>C</b>,"2 x 10-11",,0.1939,'-,"0.0553 unit decrease",[0.039-0.071],TDRKH,"Coronary artery disease","coronary artery disease",'-,GCST005196,1:151789832
rs4845625-<b>T</b>,"6 x 10-16",,0.436,'-,"0.0448 unit increase",[0.034-0.056],IL6R,"Coronary artery disease","coronary artery disease",'-,GCST005196,1:154449591
rs1892094-<b>T</b>,"4 x 10-13",,0.4924,'-,"0.0413 unit decrease",[0.03-0.052],ATP1B1,"Coronary artery disease","coronary artery disease",'-,GCST005196,1:169125221
rs6700559-<b>T</b>,"4 x 10-9",,0.4718,'-,"0.0325 unit decrease",[0.022-0.043],DDX59-AS1,"Coronary artery disease","coronary artery disease",'-,GCST005196,1:200676945
rs2820315-<b>T</b>,"3 x 10-11",,0.3,'-,"0.0405 unit increase",[0.029-0.052],LMOD1,"Coronary artery disease","coronary artery disease",'-,GCST005196,1:201903136
rs11571537-<b>T</b>,"8 x 10-6",,0.9533,'-,"0.0631 unit decrease",[0.035-0.091],ATF3,"Coronary artery disease","coronary artery disease",'-,GCST005196,1:212613683
rs11556924-<b>T</b>,"1 x 10-24",,0.36,'-,"0.062 unit decrease",[0.05-0.074],ZC3HC1,"Coronary artery disease","coronary artery disease",'-,GCST005194,7:130023656
rs11591147-<b>T</b>,"2 x 10-25",,0.016,'-,"0.282 unit decrease",[0.23-0.33],PCSK9,"Coronary artery disease","coronary artery disease",'-,GCST005194,1:55039974
rs28601761-<b>C</b>,"5 x 10-20",,0.6,'-,"0.06 unit increase",[0.046-0.074],"LINC00861, TRIB1","Coronary artery disease","coronary artery disease",'-,GCST005194,8:125487789
rs4932373-<b>A</b>,"2 x 10-25",,0.694,'-,"0.073 unit decrease",[0.059-0.087],FES,"Coronary artery disease","coronary artery disease",'-,GCST005194,15:90886057
rs72675530-<b>A</b>,"3 x 10-6",,0.666,'-,"0.031 unit decrease",[0.017-0.045],RPSAP20,"Coronary artery disease","coronary artery disease",'-,GCST005194,1:56111674
rs17114046-<b>A</b>,"1 x 10-27",,0.907,'-,"0.107 unit increase",[0.087-0.127],PLPP3,"Coronary artery disease","coronary artery disease",'-,GCST005194,1:56500678
rs147055617-<b>A</b>,"8 x 10-14",,0.918,'-,"0.088 unit decrease",[0.064-0.112],PLPP3,"Coronary artery disease","coronary artery disease",'-,GCST005194,1:56520631
rs2128739-<b>A</b>,"6 x 10-27",,0.305,'-,"0.074 unit increase",[0.06-0.088],"DYNC2H1, MIR4693","Coronary artery disease","coronary artery disease",'-,GCST005194,11:103802549
rs4766578-<b>A</b>,"6 x 10-20",,0.536,'-,"0.059 unit decrease",[0.045-0.073],ATXN2,"Coronary artery disease","coronary artery disease",'-,GCST005194,12:111466567
rs11637783-<b>T</b>,"1 x 10-30",,0.575,'-,"0.074 unit increase",[0.06-0.088],MORF4L1,"Coronary artery disease","coronary artery disease",'-,GCST005194,15:78846658
rs17465982-<b>A</b>,"9 x 10-28",,0.682,'-,"0.079 unit increase",[0.065-0.093],MIA3,"Coronary artery disease","coronary artery disease",'-,GCST005194,1:222664597
rs6919211-<b>C</b>,"2 x 10-7",,0.818,'-,"0.042 unit decrease",[0.026-0.058],TARID,"Coronary artery disease","coronary artery disease",'-,GCST005194,6:133678730
rs1966248-<b>A</b>,"3 x 10-28",,0.687,'-,"0.076 unit increase",[0.062-0.09],"TARID, LINC01312","Coronary artery disease","coronary artery disease",'-,GCST005194,6:133838484
rs965652-<b>A</b>,"1 x 10-7",,0.485,'-,"0.034 unit increase",[0.022-0.046],SLC2A12,"Coronary artery disease","coronary artery disease",'-,GCST005194,6:134047815
rs72934535-<b>T</b>,"2 x 10-32",,0.9,'-,"0.128 unit decrease",[0.11-0.15],NBEAL1,"Coronary artery disease","coronary artery disease",'-,GCST005194,2:203104250
rs28451064-<b>A</b>,"7 x 10-33",,0.124,'-,"0.119 unit increase",[0.099-0.139],"LINC00310, KCNE2","Coronary artery disease","coronary artery disease",'-,GCST005194,21:34221526
rs149487184-<b>T</b>,"9 x 10-6",,0.023,'-,"0.101 unit increase",[0.056-0.146],LINC00310,"Coronary artery disease","coronary artery disease",'-,GCST005194,21:34233562
rs7412-<b>T</b>,"3 x 10-39",,0.08,'-,"0.16 unit decrease",[0.14-0.18],APOE,"Coronary artery disease","coronary artery disease",'-,GCST005194,19:44908822
rs157595-<b>A</b>,"6 x 10-6",,0.397,'-,"0.032 unit decrease",[0.018-0.046],"APOC1P1, APOC1","Coronary artery disease","coronary artery disease",'-,GCST005194,19:44922203
rs11673093-<b>A</b>,"1 x 10-10",,0.258,'-,"0.047 unit increase",[0.033-0.061],"MARK4, EXOC3L2","Coronary artery disease","coronary artery disease",'-,GCST005194,19:45238836
rs6511720-<b>T</b>,"5 x 10-41",,0.117,'-,"0.136 unit decrease",[0.12-0.16],LDLR,"Coronary artery disease","coronary artery disease",'-,GCST005194,19:11091630
rs2738447-<b>A</b>,"2 x 10-8",,0.406,'-,"0.036 unit decrease",[0.022-0.05],LDLR,"Coronary artery disease","coronary artery disease",'-,GCST005194,19:11116804
rs318719-<b>T</b>,"2 x 10-6",,0.907,'-,"0.054 unit decrease",[0.032-0.076],RGL3,"Coronary artery disease","coronary artery disease",'-,GCST005194,19:11386305
rs12740374-<b>T</b>,"2 x 10-57",,0.219,'-,"0.124 unit decrease",[0.11-0.14],CELSR2,"Coronary artery disease","coronary artery disease",'-,GCST005194,1:109274968
rs1629862-<b>A</b>,"2 x 10-7",,0.127,'-,"0.054 unit decrease",[0.034-0.074],EDN1,"Coronary artery disease","coronary artery disease",'-,GCST005194,6:12295643
rs116843064-<b>A</b>,"4 x 10-10",,0.0202,'-,"0.1402 unit decrease",[0.096-0.184],ANGPTL4,"Coronary artery disease","coronary artery disease",'-,GCST005195,19:8364439
rs12149545-<b>A</b>,"1 x 10-9",,0.3035,'-,"0.0374 unit decrease",[0.025-0.05],"CETP, HERPUD1","Coronary artery disease","coronary artery disease",'-,GCST005195,16:56959249
rs55730499-<b>T</b>,"1 x 10-153",,0.0693,'-,"0.3122 unit increase",[0.29-0.34],LPA,"Coronary artery disease","coronary artery disease",'-,GCST005195,6:160584578
rs472109-<b>C</b>,"6 x 10-12",,0.5698,'-,"0.0391 unit increase",[0.028-0.05],SWAP70,"Coronary artery disease","coronary artery disease",'-,GCST005195,11:9748771
rs2571445-<b>A</b>,"2 x 10-12",,0.3895,'-,"0.037 unit increase",[0.027-0.047],TNS1,"Coronary artery disease","coronary artery disease",'-,GCST005195,2:217818431
rs17091891-<b>T</b>,"5 x 10-14",,0.8709,'-,"0.0585 unit increase",[0.043-0.074],"LPL, RPL30P9","Coronary artery disease","coronary artery disease",'-,GCST005195,8:19985660
rs2519093-<b>T</b>,"2 x 10-14",,0.1841,'-,"0.0554 unit increase",[0.041-0.07],ABO,"Coronary artery disease","coronary artery disease",'-,GCST005195,9:133266456
rs246600-<b>T</b>,"7 x 10-17",,0.4633,'-,"0.043 unit increase",[0.033-0.053],ARHGAP26,"Coronary artery disease","coronary artery disease",'-,GCST005195,5:143137332
rs6494488-<b>A</b>,"4 x 10-8",,0.8117,'-,"0.0382 unit increase",[0.024-0.052],"RBPMS2, OAZ2","Coronary artery disease","coronary artery disease",'-,GCST005195,15:64732005
rs55791371-<b>A</b>,"2 x 10-36",,0.8868,'-,"0.1157 unit increase",[0.098-0.134],SMARCA4,"Coronary artery disease","coronary artery disease",'-,GCST005195,19:11077477
rs9349379-<b>A</b>,"3 x 10-76",,0.5907,'-,"0.1072 unit decrease",[0.096-0.119],PHACTR1,"Coronary artery disease","coronary artery disease",'-,GCST005195,6:12903725
rs17514846-<b>A</b>,"1 x 10-26",,0.4605,'-,"0.0559 unit increase",[0.046-0.066],FURIN,"Coronary artery disease","coronary artery disease",'-,GCST005195,15:90873320
rs7137828-<b>T</b>,"4 x 10-27",,0.5535,'-,"0.0643 unit decrease",[0.053-0.076],ATXN2,"Coronary artery disease","coronary artery disease",'-,GCST005195,12:111494996
rs17114046-<b>A</b>,"8 x 10-28",,0.9062,'-,"0.096 unit increase",[0.079-0.113],PLPP3,"Coronary artery disease","coronary artery disease",'-,GCST005195,1:56500678
rs1334894-<b>T</b>,"5 x 10-8",,0.0919,'-,"0.0482 unit decrease",[0.031-0.065],FKBP5,"Coronary artery disease","coronary artery disease",'-,GCST005195,6:35647353
rs6700559-<b>T</b>,"2 x 10-8",,0.4715,'-,"0.0284 unit decrease",[0.019-0.038],DDX59-AS1,"Coronary artery disease","coronary artery disease",'-,GCST005195,1:200676945
rs72743461-<b>A</b>,"6 x 10-17",,0.2211,'-,"0.0576 unit decrease",[0.044-0.071],SMAD3,"Coronary artery disease","coronary artery disease",'-,GCST005195,15:67149412
rs6743030-<b>T</b>,"2 x 10-23",,0.465,'-,"0.0565 unit increase",[0.045-0.068],"PARTICL, RPSAP22","Coronary artery disease","coronary artery disease",'-,GCST005195,2:85536397
rs12936587-<b>A</b>,"1 x 10-9",,0.4379,'-,"0.032 unit decrease",[0.022-0.042],"PEMT, SMCR2","Coronary artery disease","coronary artery disease",'-,GCST005195,17:17640408
rs11170820-<b>C</b>,"9 x 10-13",,0.9292,'-,"0.0832 unit decrease",[0.06-0.106],"FAM242C, FLJ12825","Coronary artery disease","coronary artery disease",'-,GCST005195,12:54120131
rs4678145-<b>C</b>,"1 x 10-14",,0.1284,'-,"0.0639 unit increase",[0.048-0.08],UMPS,"Coronary artery disease","coronary artery disease",'-,GCST005195,3:124731234
rs10857147-<b>A</b>,"1 x 10-14",,0.7208,'-,"0.0491 unit decrease",[0.037-0.062],"PRDM8, FGF5","Coronary artery disease","coronary artery disease",'-,GCST005195,4:80259918
rs7678555-<b>A</b>,"1 x 10-14",,0.7166,'-,"0.0486 unit decrease",[0.036-0.061],"LINC02502, MAD2L1","Coronary artery disease","coronary artery disease",'-,GCST005195,4:119988346
rs2681492-<b>T</b>,"9 x 10-15",,0.8141,'-,"0.0558 unit decrease",[0.042-0.07],ATP2B1,"Coronary artery disease","coronary artery disease",'-,GCST005195,12:89619312
rs4845625-<b>T</b>,"7 x 10-15",,0.4338,'-,"0.0395 unit increase",[0.03-0.049],IL6R,"Coronary artery disease","coronary artery disease",'-,GCST005195,1:154449591
rs1476098-<b>A</b>,"9 x 10-10",,0.2122,'-,"0.0443 unit increase",[0.03-0.058],BCAS3,"Coronary artery disease","coronary artery disease",'-,GCST005195,17:61159652
rs17608766-<b>T</b>,"8 x 10-10",,0.8632,'-,"0.0469 unit decrease",[0.032-0.062],GOSR2,"Coronary artery disease","coronary artery disease",'-,GCST005195,17:46935905
rs9892152-<b>T</b>,"6 x 10-11",,0.4717,'-,"0.033 unit decrease",[0.023-0.043],PECAM1,"Coronary artery disease","coronary artery disease",'-,GCST005195,17:64324605
rs9319428-<b>A</b>,"5 x 10-11",,0.3121,'-,"0.036 unit increase",[0.025-0.047],FLT1,"Coronary artery disease","coronary artery disease",'-,GCST005195,13:28399484
rs34991912-<b>T</b>,"3 x 10-11",,0.4344,'-,"0.0379 unit increase",[0.027-0.049],FGD5,"Coronary artery disease","coronary artery disease",'-,GCST005195,3:14884844
rs4977574-<b>A</b>,"9 x 10-223",,0.519,'-,"0.1788 unit decrease",[0.17-0.19],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST005195,9:22098575
rs651821-<b>T</b>,"7 x 10-13",,0.901,'-,"0.0692 unit decrease",[0.05-0.088],APOA5,"Coronary artery disease","coronary artery disease",'-,GCST005195,11:116791863
rs170041-<b>T</b>,"4 x 10-17",,0.2943,'-,"0.0469 unit decrease",[0.036-0.058],SMG6,"Coronary artery disease","coronary artery disease",'-,GCST005195,17:2266922
rs185244-<b>T</b>,"2 x 10-17",,0.1625,'-,"0.0644 unit increase",[0.05-0.079],MRAS,"Coronary artery disease","coronary artery disease",'-,GCST005195,3:138374047
rs4803455-<b>A</b>,"2 x 10-17",,0.4954,'-,"0.0484 unit decrease",[0.037-0.06],TGFB1,"Coronary artery disease","coronary artery disease",'-,GCST005195,19:41345604
rs9337951-<b>A</b>,"2 x 10-17",,0.3178,'-,"0.0543 unit increase",[0.042-0.067],JCAD,"Coronary artery disease","coronary artery disease",'-,GCST005195,10:30028144
rs11057830-<b>A</b>,"2 x 10-18",,0.1465,'-,"0.0655 unit increase",[0.051-0.08],SCARB1,"Coronary artery disease","coronary artery disease",'-,GCST005195,12:124822507
rs6544713-<b>T</b>,"2 x 10-18",,0.3038,'-,"0.0492 unit increase",[0.038-0.06],ABCG8,"Coronary artery disease","coronary artery disease",'-,GCST005195,2:43846742
rs9515203-<b>T</b>,"4 x 10-23",,0.7392,'-,"0.0596 unit increase",[0.048-0.071],COL4A2,"Coronary artery disease","coronary artery disease",'-,GCST005195,13:110397276
rs2327429-<b>T</b>,"4 x 10-31",,0.695,'-,"0.0655 unit increase",[0.055-0.076],TARID,"Coronary artery disease","coronary artery disease",'-,GCST005195,6:133888699
rs6728861-<b>A</b>,"1 x 10-32",,0.1174,'-,"0.1054 unit increase",[0.088-0.123],WDR12,"Coronary artery disease","coronary artery disease",'-,GCST005195,2:203009020
rs11613352-<b>T</b>,"5 x 10-9",,0.235,'-,"0.036 unit decrease",[0.024-0.048],R3HDM2,"Coronary artery disease","coronary artery disease",'-,GCST005195,12:57398797
rs12801636-<b>A</b>,"2 x 10-11",,0.2364,'-,"0.0403 unit decrease",[0.029-0.052],PCNX3,"Coronary artery disease","coronary artery disease",'-,GCST005195,11:65623846
rs10947789-<b>T</b>,"8 x 10-12",,0.7671,'-,"0.0413 unit increase",[0.03-0.053],KCNK5,"Coronary artery disease","coronary artery disease",'-,GCST005195,6:39207146
rs1892094-<b>T</b>,"3 x 10-12",,0.4956,'-,"0.0362 unit decrease",[0.026-0.046],ATP1B1,"Coronary artery disease","coronary artery disease",'-,GCST005195,1:169125221
rs16986953-<b>A</b>,"1 x 10-16",,0.1095,'-,"0.0812 unit increase",[0.062-0.1],"LINC01808, CISD1P1","Coronary artery disease","coronary artery disease",'-,GCST005195,2:19742712
rs11204892-<b>A</b>,"3 x 10-11",,0.1892,'-,"0.0487 unit decrease",[0.034-0.063],"TDRKH-AS1, LINGO4","Coronary artery disease","coronary artery disease",'-,GCST005195,1:151795572
rs10841443-<b>C</b>,"3 x 10-14",,0.3409,'-,"0.046 unit decrease",[0.034-0.058],LINC02398,"Coronary artery disease","coronary artery disease",'-,GCST005195,12:20067099
rs11556924-<b>T</b>,"1 x 10-23",,0.3624,'-,"0.0548 unit decrease",[0.044-0.066],ZC3HC1,"Coronary artery disease","coronary artery disease",'-,GCST005195,7:130023656
rs62076439-<b>T</b>,"2 x 10-15",,0.3409,'-,"0.048 unit increase",[0.036-0.06],ZNF652,"Coronary artery disease","coronary artery disease",'-,GCST005195,17:49327266
rs11601507-<b>A</b>,"6 x 10-13",,0.0739,'-,"0.0782 unit increase",[0.057-0.099],TRIM5,"Coronary artery disease","coronary artery disease",'-,GCST005195,11:5679844
rs11509880-<b>A</b>,"3 x 10-8",,0.3612,'-,"0.0327 unit increase",[0.021-0.044],TMEM106B,"Coronary artery disease","coronary artery disease",'-,GCST005195,7:12222285
rs1317507-<b>A</b>,"8 x 10-12",,0.2608,'-,"0.0398 unit increase",[0.028-0.051],MCF2L,"Coronary artery disease","coronary artery disease",'-,GCST005195,13:112977466
rs12897-<b>A</b>,"1 x 10-9",,0.5914,'-,"0.0358 unit decrease",[0.024-0.047],FNDC3B,"Coronary artery disease","coronary artery disease",'-,GCST005195,3:172398112
rs11107903-<b>A</b>,"1 x 10-12",,0.0768,'-,"0.0747 unit decrease",[0.054-0.095],FGD6,"Coronary artery disease","coronary artery disease",'-,GCST005195,12:95114195
rs7199941-<b>A</b>,"9 x 10-13",,0.3982,'-,"0.0367 unit increase",[0.027-0.047],PLCG2,"Coronary artery disease","coronary artery disease",'-,GCST005195,16:81872818
rs112941079-<b>A</b>,"4 x 10-13",,0.8676,'-,"0.0615 unit increase",[0.045-0.078],SEMA5A,"Coronary artery disease","coronary artery disease",'-,GCST005195,5:9545986
rs71566846-<b>T</b>,"3 x 10-13",,0.0662,'-,"0.0829 unit increase",[0.061-0.105],"PRIM2, RAB23","Coronary artery disease","coronary artery disease",'-,GCST005195,6:57283373
rs7251815-<b>T</b>,"1 x 10-13",,0.2162,'-,"0.0511 unit increase",[0.038-0.065],MAP1S,"Coronary artery disease","coronary artery disease",'-,GCST005195,19:17734133
rs2832227-<b>A</b>,"4 x 10-9",,0.8258,'-,"0.0393 unit decrease",[0.026-0.052],MAP3K7CL,"Coronary artery disease","coronary artery disease",'-,GCST005195,21:29160755
rs10512861-<b>T</b>,"3 x 10-9",,0.1433,'-,"0.0431 unit decrease",[0.029-0.057],"ACAD11, DNAJC13","Coronary artery disease","coronary artery disease",'-,GCST005195,3:132539117
rs7998440-<b>A</b>,"1 x 10-10",,0.3549,'-,"0.0383 unit decrease",[0.027-0.05],"PDS5B, N4BP2L2","Coronary artery disease","coronary artery disease",'-,GCST005195,13:32551069
rs6984210-<b>C</b>,"1 x 10-11",,0.939,'-,"0.0784 unit decrease",[0.056-0.101],BMP1,"Coronary artery disease","coronary artery disease",'-,GCST005195,8:22176102
rs4072980-<b>A</b>,"4 x 10-10",,0.4303,'-,"0.0326 unit decrease",[0.022-0.043],"SF3A3, RNU6-510P","Coronary artery disease","coronary artery disease",'-,GCST005195,1:37990434
rs11099493-<b>A</b>,"2 x 10-10",,0.6924,'-,"0.039 unit increase",[0.027-0.051],RASGEF1B,"Coronary artery disease","coronary artery disease",'-,GCST005195,4:81665896
rs6997340-<b>T</b>,"5 x 10-9",,0.3025,'-,"0.0331 unit increase",[0.022-0.044],"NAT2, PSD3","Coronary artery disease","coronary artery disease",'-,GCST005195,8:18429487
rs944172-<b>T</b>,"4 x 10-12",,0.7197,'-,"0.0395 unit decrease",[0.028-0.051],"RNU6-996P, RNU6-1064P","Coronary artery disease","coronary artery disease",'-,GCST005195,9:107755513
rs2074164-<b>C</b>,"7 x 10-9",,0.1956,'-,"0.0423 unit increase",[0.028-0.057],KAT2A,"Coronary artery disease","coronary artery disease",'-,GCST005195,17:42118220
rs11080107-<b>T</b>,"3 x 10-10",,0.5146,'-,"0.0358 unit decrease",[0.025-0.047],"ANKRD13B, ABHD15-AS1","Coronary artery disease","coronary artery disease",'-,GCST005195,17:29611406
rs11591147-<b>T</b>,"2 x 10-22",,0.0164,'-,"0.2406 unit decrease",[0.19-0.29],PCSK9,"Coronary artery disease","coronary artery disease",'-,GCST005195,1:55039974
rs273909-<b>A</b>,"5 x 10-10",,0.8754,'-,"0.0488 unit decrease",[0.034-0.064],"SLC22A4, MIR3936HG","Coronary artery disease","coronary artery disease",'-,GCST005195,5:132331660
rs2252641-<b>T</b>,"5 x 10-13",,0.5299,'-,"0.0368 unit decrease",[0.027-0.047],TEX41,"Coronary artery disease","coronary artery disease",'-,GCST005195,2:145043894
rs1250229-<b>T</b>,"2 x 10-13",,0.2722,'-,"0.0435 unit increase",[0.032-0.055],"LINC00607, FN1","Coronary artery disease","coronary artery disease",'-,GCST005195,2:215439661
rs7692387-<b>A</b>,"3 x 10-23",,0.1892,'-,"0.0643 unit decrease",[0.052-0.077],GUCY1A1,"Coronary artery disease","coronary artery disease",'-,GCST005195,4:155714157
rs1870634-<b>T</b>,"4 x 10-24",,0.3511,'-,"0.06 unit decrease",[0.048-0.072],LINC00841,"Coronary artery disease","coronary artery disease",'-,GCST005195,10:43985363
rs9964304-<b>A</b>,"1 x 10-9",,0.716,'-,"0.0382 unit decrease",[0.026-0.051],"ACAA2, SMUG1P1","Coronary artery disease","coronary artery disease",'-,GCST005195,18:49703347
